review_item_id,run_id,date_detected,target_library,affected_record_id,change_class,risk_class,summary,source_ids,evidence_directness,proposed_action,clinician_decision,reviewer,review_date,notes
ops-20260630T0754-22,ops-20260630T0754,2026-06-30,protocols/peptide-module.json,,CONFLICT,low,Pregnancy contraindication placement is non-uniform across GLP-1 backbones (absolute for semaglutide/liraglutide; relative for tirzepatide). This mirrors label differences but is an internal-consistency risk for the shared red-flag screen which lists pregnancy as a hard_screen/platform_hard_stop.,,direct,Confirm each GLP-1 pregnancy tagging matches its specific label; document that the platform_hard_stop on pregnancy supersedes per-agent relative tagging operationally. Add validation case that pregnancy hard-stop fires regardless of per-agent field.,,,,requires_signoff
ops-20260630T0754-23,ops-20260630T0754,2026-06-30,protocols/peptide-module.json,,METADATA_ONLY,low,"GLP-1 indication threshold cites 'Grade A, FDA Wegovy/Zepbound labels' (BMI>=30 or 27-29.9 + comorbidity) — directly label-grounded but should be re-verified against current labels at next fetch; no overclaim detected.",,direct,Mark for routine label re-verification; no logic change. No signoff blocking required beyond standard.,,,,
ops-20260630T0754-24,ops-20260630T0754,2026-06-30,protocols/peptide-module.json,,METADATA_ONLY,low,"No efficacy/synergy overclaims detected; interaction rules correctly mark synergy 'unproven' (IR014), distinguish AOD-9604 from GH-secretagogues (IR005), and use FLAG/INFORM/LANGUAGE_GUARDRAIL rather than auto-block. VERIFY discipline and no-dose posture intact.",,direct,No action; confirms advisory posture and anti-synergy-overclaim guardrails are intact.,,,,
ops-20260630T0754-25,ops-20260630T0754,2026-06-30,protocols/bhrt-module.json,,CONFLICT,medium,"S6 metadata internally inconsistent: titled 'ISSWSH Clinical Practice Guideline — Systemic Testosterone for HSDD' but the PMID 33792440 / DOI 10.1080/13697137.2021.1891773 (Climacteric 2021) corresponds to the Global Consensus/Goldstein-type testosterone-for-women publication line, which overlaps S7's content space. The citation_regulatory auditor asserted 'S6 title/PMID/DOI confirmed consistent (ISSWSH guideline, Climacteric 2021)' — but ISSWSH process documents and the Global Consensus Position Statement are distinct publications. Cannot confirm from supplied module alone that PMID/DOI exactly match the stated ISSWSH title at 'direct' directness.",,insufficient,"Re-verify S6 PMID 33792440 + DOI against the exact stated ISSWSH title at next live source pass; if mismatch, correct title or re-bind HSDD_testosterone source_map entries. Until verified, flag S6 binding as BLOCKED_FOR_AUDIT for the testosterone HSDD pathway (note S7 independently supports HSDD-only posture, so clinical logic is not unsupported).",,,,requires_signoff
ops-20260630T0754-26,ops-20260630T0754,2026-06-30,protocols/bhrt-module.json,,PROTOCOL_DRIFT,low,"S11 (HHS/FDA 10-Nov-2025 boxed-warning removal on first 6 MHT products) is cited under regulatory_CDS_wellness_framing only, and meta correctly avoids approval-gate logic. However, the module retains 'FDA-approved options shown before compounded' and boxed-warning-dependent framing elsewhere; a labeling change removing boxed warnings could create drift between safety counseling text and current labels.",,direct,"Confirm no module safety text relies on now-removed boxed-warning language for MHT; ensure S11 is used only for labeling-status awareness, NOT as efficacy/safety-relaxation logic. No clinical-logic change without signoff.",,,,requires_signoff
ops-20260630T0754-27,ops-20260630T0754,2026-06-30,protocols/bhrt-module.json,,VALIDATION_GAP,medium,"uterus_gate contains an explicit self-flagged unresolved item: 'VERIFY exact progestogen dose text against S1 at lock.' Dose text (micronized progesterone 100 mg continuous / 200 mg ≥12 days sequential) is a clinical-logic/dose claim that the module itself marks as not finally verified, yet status is LOCKED.",,insufficient,"Resolve the embedded VERIFY note: confirm 100 mg/200 mg progestogen-protection dose text against S1 (NAMS 2022) exact language before relying on it as a standing protective-dose claim. Per UPD_RULE_008, dose claims need direct source confirmation. Add validation case for endometrial-protection dosing.",,,,requires_signoff
ops-20260630T0754-28,ops-20260630T0754,2026-06-30,protocols/bhrt-module.json,,CONFLICT,medium,"fezolinetant_liver_module monitoring schedule ('monthly for first 3 months, then months 6 and 9') is attributed to FDA Boxed Warning S10. Module text elsewhere (signoff/S10 description) states 'baseline + monthly×3 LFTs' without the months 6/9 component, creating an internal inconsistency in the exact monitoring interval cited as direct from the boxed warning.",,direct,Reconcile the two monitoring-schedule statements against the current Veozah label/Boxed Warning (S10); confirm the months 6 and 9 testing is current label text and not an addition. Align all module references to one verified schedule. Add validation case for fezolinetant LFT monitoring.,,,,requires_signoff
ops-20260630T0754-29,ops-20260630T0754,2026-06-30,protocols/bhrt-module.json,,METADATA_ONLY,low,"S3 was relabeled from an 'unverifiable Endocrine Society title' to NASEM 2020, with the PMID/DOI 33739316 belonging to the Stuenkel companion (Menopause 2021), not the NASEM report itself. This is honestly disclosed, but the citation binds a consensus-report claim to a companion-article identifier — acceptable only if the companion supports the exact compounded-suppression claim.",,class_or_pathway,"Confirm the Stuenkel companion (PMID 33739316) explicitly supports the 'compounded not first-line when FDA-approved exists' claim at the stated strength; if the companion only summarizes, keep claim language at current (non-superiority) level and do not upgrade. No change needed if support confirmed.",,,,requires_signoff
ops-20260630T0754-30,ops-20260630T0754,2026-06-30,protocols/peptide-stack-families.json,,VALIDATION_GAP,medium,"FAM06 PT-141/bremelanotide gate is sound, but verify the focal contraindication language matches current label: bremelanotide is contraindicated in uncontrolled HTN and known CVD, and carries a transient BP increase/HR warning. Confirm 'oral-naltrexone' caution reflects the label's note on significantly decreased naltrexone exposure (relevant to oral naltrexone-dependent regimens). No dose present, advisory posture intact.",,direct,"Clinician to re-verify FAM06 key_gate wording against current bremelanotide DailyMed label; confirm naltrexone-interaction phrasing; keep gate, refine wording only on sign-off.",,,,requires_signoff
ops-20260630T0754-31,ops-20260630T0754,2026-06-30,protocols/peptide-stack-families.json,,CONFLICT,low,"FAM09 states AOD-9604 'FAILED a 24-wk 536-subject weight-loss trial.' This is a specific quantitative efficacy-limitation claim presented as fact. It must trace to a direct, auditable source in source_audit_v1.csv with exact n, duration, and outcome; otherwise downgrade to general 'limited/failed-to-demonstrate' language.",,insufficient,"Audit the cited source for AOD-9604 trial; if exact 24-wk/536-subject figures are not directly supported, soften to non-numeric efficacy-limitation language pending citation.",,,,requires_signoff
ops-20260630T0754-32,ops-20260630T0754,2026-06-30,protocols/peptide-stack-families.json,,SOURCE_STALE,medium,"sources_ref points to source_audit_v1.csv (22 sources) and validation_cases_v1.csv (10 cases), but these files are not supplied this pass (protocol_only, no live fetch). Citations cannot be verified against their does_not_support fields; treat as unverified rather than confirmed.",,insufficient,Flag referenced audit/validation CSVs as unverified this pass; require their contents in next citation_audit run to confirm each citation supports its exact claim at stated directness.,,,,requires_signoff
ops-20260630T0754-33,ops-20260630T0754,2026-06-30,protocols/peptide-stack-families.json,,PROTOCOL_DRIFT,high,"Module declares status 'locked' and a completed MD sign-off, yet signoff_ledger.pending still lists unfinished items including 'Confirm each family's IV/IM groups resolve to peptide-iv-support ingredient IDs + provide the wellness_iv_hard_stop gate package (referenced, not yet in-repo)' and workspace migration. A locked/effective artifact whose declared safety-gate package is 'referenced, not yet in-repo' is a drift/conflict between stated lock state and unresolved safety dependency.",,direct,"Escalate: the wellness_iv_hard_stop gate package and IV/IM ingredient-ID resolution are the single safety source of truth this selector delegates to; confirm they exist in-repo before treating lock as binding, or downgrade status to 'locked-pending-gate-dependency'. Clinician/governance sign-off required.",,,,requires_signoff
ops-20260630T0754-34,ops-20260630T0754,2026-06-30,protocols/peptide-stack-families.json,,VALIDATION_GAP,low,"FAM03_MITO_ENERGY and FAM05/biotin carry appropriate non-overclaim language, but FAM05 'biotin allowed by wellness goal' should retain the lab-interference caution (biotin can interfere with immunoassays incl. troponin/thyroid). Confirm this caution lives in the delegated gate/iv module so it is not lost at the selector layer.",,direct,"Verify biotin lab-interference advisory exists in peptide-iv-support gate; if absent, propose adding (no dose change). Sign-off required.",,,,requires_signoff
ops-20260630T0754-35,ops-20260630T0754,2026-06-30,protocols/peptide-stack-families.json,,METADATA_ONLY,low,"Multiple add-on agents (KPV, MOTS-c, SS-31, Epitalon, Semax, Selank, DSIP, BPC-157, TB-500) rest on preclinical/mechanistic evidence, which the module honestly labels. No proven-synergy or efficacy overclaim detected; do_not_claim lists are present and consistent. No action beyond confirming directness tags in the source audit remain 'mechanistic/insufficient' not 'direct'.",,mechanistic,"On next full citation_audit, confirm each non-label peptide citation is tagged mechanistic/class_or_pathway, not direct human-outcome. No clinical change.",,,,
ops-20260630T0754-36,ops-20260630T0754,2026-06-30,protocols/wellness-iv-hard-stop.json,,VALIDATION_GAP,medium,"FAM03 niagen_note instructs 'verify current FDA 503B status' and routing references ING_NIAGEN_NR/WEL-16 as 'now LOCKED in iv-module v1.1 (effective 2026-06-29)'. This module is dated/locked the same day and self-asserts the dependency is resolved, but the iv-module v1.1 lock cannot be re-verified in this protocol_only pass (no live fetch). Cross-artifact lock state is unconfirmed here.",,insufficient,"Flag for clinician/curator to confirm protocols/iv-module.json is actually at v1.1 (effective 2026-06-29) with ING_NIAGEN_NR + WEL-16 locked, and that the standing-order ceilings/rates live there. Until confirmed, treat NR injectable routing as unverified; do not rely on this module's self-attestation.",,,,requires_signoff
ops-20260630T0754-37,ops-20260630T0754,2026-06-30,protocols/wellness-iv-hard-stop.json,,CONFLICT,low,"Routing token 'niagen_nr_standing_order' embeds a regulatory-status instruction ('verify current FDA 503B status') and the meta declares no_regulatory_logic:true. The 503B verification is operational guidance, not a gate, but it sits adjacent to clinical routing and could be read as a status-based gate.",,insufficient,Confirm 503B verification remains an operational/compliance note and is NOT wired as an approval/block gate in the deterministic engine (per no_regulatory_logic and UPD_RULE_007). Keep as advisory wording only.,,,,requires_signoff
ops-20260630T0754-38,ops-20260630T0754,2026-06-30,protocols/wellness-iv-hard-stop.json,,VALIDATION_GAP,medium,"FAM06 PT-141/bremelanotide 'uncontrolled hypertension or known cardiovascular disease = label contraindication → hard stop' and FAM06 pituitary-tumor/hormone-sensitive-malignancy screens are load-bearing safety claims stated at direct/label directness, but no source fetch occurred this pass to re-verify against the current bremelanotide label and the authoritative key_gate text in peptide-stack-families.json.",,direct,"On next source-enabled pass, re-verify the bremelanotide label CV contraindication wording and confirm FAM06 delegated_red_flags_ref resolves to the authoritative key_gate (full breast/prostate/endometrial/ovarian + pituitary-tumor set). Posture and stop are correctly conservative; flag is verification-only.",,,,requires_signoff
ops-20260630T0754-39,ops-20260630T0754,2026-06-30,protocols/wellness-iv-hard-stop.json,,VALIDATION_GAP,low,"AOD-9604 efficacy-limitation claim ('failed a 24-week, 536-subject weight-loss trial') is a specific quantitative trial claim carried inline as required claim discipline. It is correctly framed as a limitation (not overclaim), but the exact trial figures are not re-verifiable in this protocol_only pass.",,direct,"On next source-enabled pass, confirm the 24-week / 536-subject figures against the underlying trial citation; retain efficacy-limitation language regardless. No relaxation permitted.",,,,requires_signoff
ops-20260630T0754-40,ops-20260630T0754,2026-06-30,protocols/wellness-iv-hard-stop.json,,VALIDATION_GAP,low,Schema auditor notes the FAM04–09 peptide-stack-family-safety-gate-map references were FIXED by 'promoting' protocols/peptide-stack-family-safety-gate-map.json. Resolution of these cross-file refs cannot be confirmed without the target file in this pass.,,insufficient,Confirm protocols/peptide-stack-family-safety-gate-map.json exists and resolves FAM04–FAM09 primary_red_flags refs before relying on those delegated pointers. Advisory posture and any_hold_wins composition remain intact.,,,,requires_signoff
ops-20260630T0754-41,ops-20260630T0754,2026-06-30,protocols/peptide-iv-support.json,,SOURCE_STALE,low,"Expecting ',' delimiter: line 1 column 4506 (char 4505)",,insufficient,retry,,,,
