source_id,source_type,title,url,supports_claim,does_not_support,evidence_directness
SRC_SELANK_MECH,peer_reviewed_mechanistic_study,Selank affects genes involved in GABAergic neurotransmission,https://pmc.ncbi.nlm.nih.gov/articles/PMC4757669/,Selank maps to neuro/GABAergic stress/calm axis.,Does not prove IV neuro support improves outcomes.,mechanistic/indirect
SRC_DSIP_SLEEP_STUDY,human_sleep_study,DSIP in chronic insomniac patients,https://pubmed.ncbi.nlm.nih.gov/1299794/,DSIP has limited human sleep endpoint evidence with weak effects.,Does not prove routine insomnia treatment or IV synergy.,direct but weak for sleep endpoint
SRC_THYMOSIN_ALPHA1_REVIEW,peer_reviewed_review,Thymosin alpha 1 biological and immune literature,https://pmc.ncbi.nlm.nih.gov/articles/PMC7797677/,Thymosin alpha-1 maps to immune modulation literature.,Does not prove wellness IV immune stack efficacy.,immune-axis evidence
SRC_AOD9604_SAFETY,human_and_nonclinical_safety_review,Safety and metabolism of AOD9604,https://www.jofem.org/index.php/jofem/article/view/213,AOD-9604 has safety/tolerability literature and metabolic rationale.,Does not prove clinically significant fat-loss efficacy or IV synergy.,direct for safety/tolerability; weak for efficacy
SRC_AOD9604_FAILED_TRIAL_REVIEW,peer_reviewed_obesity_review,Obesity pharmacotherapy review discussing AOD9604 development termination,https://pmc.ncbi.nlm.nih.gov/articles/PMC3584306/,AOD-9604 failed to show significant weight loss in a 24-week 536-subject trial per review.,Does not support AOD as proven fat-loss therapy.,direct for efficacy limitation
SRC_NIH_B12,NIH nutrient reference,Vitamin B12 Fact Sheet for Health Professionals,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,B12 maps to energy/neuro wellness support and deficiency-risk logic.,Does not prove guaranteed energy or peptide enhancement.,direct for nutrient biology; indirect for wellness support
SRC_NIH_BIOTIN,NIH nutrient reference,Biotin Fact Sheet for Health Professionals,https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/,Biotin is marketed for hair/skin/nails and has carboxylase biology; nondeficient outcome evidence limited.,Does not prove guaranteed hair growth.,direct for nutrient biology; limited for outcome
SRC_FDA_BIOTIN_LAB,FDA safety communication,Biotin interference with troponin lab tests,https://www.fda.gov/medical-devices/in-vitro-diagnostics/biotin-interference-troponin-lab-tests-assays-subject-biotin-interference,Biotin can interfere with lab assays including troponin.,Does not prohibit all biotin use.,direct for safety gate
SRC_NIH_MAGNESIUM,NIH nutrient reference,Magnesium Fact Sheet for Health Professionals,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,Magnesium maps to energy/neuromuscular wellness and renal safety gate.,Does not prove magnesium IV improves peptide outcomes.,direct for nutrient biology/safety; indirect for wellness support
SRC_NIH_VITC,NIH nutrient reference,Vitamin C Fact Sheet for Health Professionals,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,Vitamin C maps to collagen/antioxidant biology and renal/oxalate safety gate.,Does not prove peptide synergy.,direct for nutrient biology/safety; indirect for wellness support
SRC_FRONTIERS_NR_NAD_IV,peer_reviewed_human_IV_tolerability_study,Intravenous NAD+ versus NR tolerability pilot,https://www.frontiersin.org/journals/aging/articles/10.3389/fragi.2026.1652582/full,Preliminary human tolerability evidence for IV NAD+ and IV NR/Niagen.,"Does not prove durable energy, anti-aging, or peptide-combination outcome.",direct for IV tolerability; indirect for wellness energy support
SRC_MSD_IV_LIMITS,clinical reference review,MSD/Merck Manual: IV vitamin therapy / Myers' cocktail,https://www.msdmanuals.com/home/special-subjects/dietary-supplements-and-vitamins/intravenous-vitamin-therapy-myers-cocktail,Broad IV wellness benefit evidence is limited; safety screening matters.,Does not prove peptide-IV efficacy.,direct for evidence-limit and safety posture
